frame,time_s_center,time_s_from_start,moon_distance_km,moon_px,sun_px,scale_pct,screen_x_px,screen_y_px,alpha_deg,beta_deg,angular_sep_deg,sun_az_deg,sun_alt_deg,moon_az_deg,moon_alt_deg,utc_iso
1078,424.1120560280142,5824.112056028014,355144.1674435032,65.42268101808463,62.27140673626886,13.084536203616926,-3.740295341901641,5.095458572822452,-0.0320497961973155,0.0436618981348119,0.0541622561355327,204.22351064796737,54.9296218430895,204.1676707407704,54.97327095212763,2006-03-29 11:01:08.667
1079,429.51475737868986,5829.51475737869,355144.732134463,65.42257699402575,62.2714054215688,13.084515398805149,-3.772150912639889,5.162109194338693,-0.0323227597579121,0.0442330128749001,0.0547842988101487,204.2604186100052,54.92217884401472,204.20411275741668,54.96639885233847,2006-03-29 11:01:14.070
1080,434.91745872936553,5834.9174587293655,355145.2975631905,65.42247283439103,62.27140410654675,13.084494566878204,-3.803945031836036,5.228792385453404,-0.0325951967519475,0.0448044066880273,0.0554065054277645,204.29731321201209,54.9147251641045,204.2405425044477,54.95951634947527,2006-03-29 11:01:19.473
1081,440.3201600800403,5840.32016008004,355145.8637290374,65.42236853930126,62.27140279120334,13.084473707860251,-3.835677721055781,5.2955080735220434,-0.0328671073642096,0.0453760789515913,0.0560288709874843,204.3341944435227,54.90726081032155,204.2769599708442,54.95262344988997,2006-03-29 11:01:24.875
1082,445.722861430716,5845.722861430716,355146.4306326033,65.42226410864725,62.27140147553832,13.08445282172945,-3.86734901942684,5.3622562021634765,-0.0331384919299719,0.0459480291823477,0.0566513909050621,204.37106229411245,54.89978578963276,204.31336514536383,54.9457201600779,2006-03-29 11:01:30.278
1083,451.1255627813907,5851.125562781391,355146.9982732636,65.42215954254542,62.27140015955172,13.084431908509083,-3.898958982811432,5.429036730972256,-0.0334093509279021,0.0465202570339435,0.0572740609947231,204.40791675339952,54.8923001090096,204.34975801655585,54.93880648667571,2006-03-29 11:01:35.681
1084,456.5282641320664,5856.528264132066,355147.5666516784,65.42205484087539,62.27139884324348,13.084410968175078,-3.93050755347989,5.495849513328031,-0.0336796838633236,0.0470927612498934,0.0578968759566482,204.44475781104612,54.88480377542621,204.3861385747074,54.93188243541335,2006-03-29 11:01:41.083
1085,461.93096548274207,5861.930965482742,355148.1357665601,65.4219500038757,62.27139752661388,13.08439000077514,-3.9619948490375423,5.56269456436616,-0.0339494917439679,0.0476655419597611,0.0585198326758941,204.48158545675324,54.87729679586258,204.4225068075256,54.9249480134114,2006-03-29 11:01:46.486
1086,467.3336668334168,5867.333666833417,355148.70561912755,65.42184503132309,62.27139620966259,13.084369006264618,-3.99342088543931,5.62957180673934,-0.0342187747065462,0.0482385985006462,0.0591429270587005,204.51839968026744,54.86977917730128,204.4588627042793,54.91800322700121,2006-03-29 11:01:51.889
1087,472.7363681840925,5872.7363681840925,355149.2762089172,65.42173992330432,62.27139489238991,13.084347984660862,-4.024785657220854,5.696481142742866,-0.0344875327042326,0.0488119300352097,0.0597661549273774,204.55520047137733,54.862250926729146,204.495206254597,54.9110480823441,2006-03-29 11:01:57.291
1088,478.13906953476817,5878.139069534768,355149.8475356534,65.42163467987142,62.27139357479586,13.084326935974284,-4.056089225526642,5.763422536010728,-0.0347557662609579,0.0493855362517106,0.0603895130189189,204.59198781991216,54.85471205113726,204.53153744715257,54.904082586130734,2006-03-29 11:02:02.694
1089,483.5417708854429,5883.541770885443,355150.4195990704,65.42152930107468,62.27139225688036,13.084305860214936,-4.08733159281349,5.830395895363352,-0.0350234753977712,0.0499594163687217,0.0610129975442919,204.62876171574356,54.84716255752051,204.56785627153624,54.89710674458626,2006-03-29 11:02:08.097
1090,488.9444722361186,5888.944472236119,355150.99239908,65.42142378693163,62.27139093864376,13.084284757386325,-4.118512803981623,5.89740116895516,-0.0352906604994102,0.0505335699418603,0.0616366053398506,204.66552214878664,54.8396024528775,204.6041627167471,54.89012056427621,2006-03-29 11:02:13.500
