psi_deg,lat_deg,lon_deg,elev_m,eff_radius_km,ang_rad,radius_px,x_px,y_px,sun_visible,radius_comp_px,ae_x,ae_y
329.4140625,-8.898159638690716,91.87533173760326,2729.312712594739,1740.129312712595,0.0049004476512406,32.767434651605164,28.208401155540425,-16.673058444548214,True,540.2943002511319,2513.1215002206263,1354.9180258120118
329.58984375,-8.722378773310334,91.87495962731616,2729.31627941631,1740.1293162794166,0.0049004476612544,32.76743471856466,28.25942068159479,-16.586437856756618,True,540.2943013552108,2513.9627488390115,1353.4897599020985
329.765625,-8.546597907568097,91.87458786716216,2729.319846286201,1740.1293198462863,0.0049004476713361,32.76743478597862,28.31017421981977,-16.499661150969548,True,540.2943024667833,2514.7996116484474,1352.058919800338
329.94140625,-8.370817041471632,91.8742164496588,2729.323413203792,1740.129323413204,0.0049004476813273,32.767434852786614,28.36066129158696,-16.412729143426937,True,540.2943035683642,2515.632080756945,1350.6255189655142
330.1171875,-8.19503617502871,91.87384536735028,2729.3269801681995,1740.1293269801686,0.0049004476913864,32.76743492004909,28.41088142260837,-16.325642652898523,True,540.2943046774388,2516.460148344085,1349.1895708981217
330.29296875,-8.01925530824706,91.87347461280692,2729.33054717873,1740.129330547179,0.0049004477014455,32.76743498731156,28.460834139799207,-16.23840249884605,True,540.2943057865134,2517.2838066092877,1347.7510891100674
330.46875,-7.843474441134215,91.8731041786244,2729.3341142345757,1740.129334114235,0.0049004477115046,32.76743505457403,28.510518972984432,-16.151009502406403,True,540.294306895588,2518.103047799949,1346.3100871408797
330.64453125,-7.667693573697877,91.87273405742329,2729.3376813350437,1740.1293376813353,0.004900447721541,32.767435121685004,28.559935454378294,-16.06346448608088,True,540.2943080021646,2518.9178642028637,1344.8665785525818
330.8203125,-7.491912705945682,91.87236424184842,2729.341248479245,1740.1293412484797,0.0049004477316001,32.76743518894747,28.609083119116807,-15.975768274024851,True,540.2943091112392,2519.7282481530024,1343.4205769344735
330.99609375,-7.316131837885114,91.87199472456822,2729.344815666506,1740.1293448156669,0.0049004477416366,32.767435256058455,28.65796150433804,-15.887921691519676,True,540.2943102178159,2520.534192018346,1341.9720958944185
